date,hospital,icu,ventilator
2020-02-10,1,,
2020-02-11,0,,
2020-02-12,0,,
2020-02-13,0,,
2020-02-14,0,,
2020-02-15,0,,
2020-02-16,0,,
2020-02-17,0,,
2020-02-18,0,,
2020-02-19,0,,
2020-02-20,0,,
2020-02-21,0,,
2020-02-22,0,,
2020-02-23,0,,
2020-02-24,0,,
2020-02-25,0,,
2020-02-26,0,,
2020-02-27,2,1,
2020-02-28,1,0,
2020-02-29,0,0,
2020-03-01,0,0,
2020-03-02,1,0,
2020-03-03,2,0,
2020-03-04,2,0,
2020-03-05,1,0,
2020-03-06,0,0,
2020-03-07,0,0,
2020-03-08,1,0,
2020-03-09,1,0,
2020-03-10,3,1,
2020-03-11,6,3,
2020-03-12,5,1,
2020-03-13,6,1,
2020-03-14,1,0,
2020-03-15,7,2,
2020-03-16,12,2,
2020-03-17,8,1,
2020-03-18,10,2,
2020-03-19,51,5,
2020-03-20,44,2,
2020-03-21,32,6,
2020-03-22,35,5,
2020-03-23,58,11,
2020-03-24,101,4,
2020-03-25,68,7,
2020-03-26,94,16,
2020-03-27,116,14,
2020-03-28,94,15,
2020-03-29,72,14,
2020-03-30,102,14,
2020-03-31,98,15,
2020-04-01,177,20,
2020-04-02,135,17,
2020-04-03,146,14,
2020-04-04,129,16,
2020-04-05,153,32,
2020-04-06,256,56,
2020-04-07,216,38,
2020-04-08,217,27,
2020-04-09,217,24,
2020-04-10,267,37,
2020-04-11,230,36,
2020-04-12,258,35,
2020-04-13,346,53,
2020-04-14,345,45,
2020-04-15,363,50,
2020-04-16,421,53,
2020-04-17,373,51,
2020-04-18,442,61,
2020-04-19,425,59,
2020-04-20,578,67,
2020-04-21,551,76,
2020-04-22,565,90,
2020-04-23,598,66,
2020-04-24,618,80,
2020-04-25,581,56,
2020-04-26,623,69,
2020-04-27,701,84,
2020-04-28,712,84,
2020-04-29,723,70,
2020-04-30,699,78,
2020-05-01,710,75,
2020-05-02,637,81,
2020-05-03,637,67,
2020-05-04,761,78,
2020-05-05,758,78,
2020-05-06,754,76,
2020-05-07,822,74,
2020-05-08,823,79,
2020-05-09,681,76,
2020-05-10,818,91,
2020-05-11,1063,117,
2020-05-12,952,91,
2020-05-13,1005,113,
2020-05-14,1022,96,
2020-05-15,1104,116,
2020-05-16,904,77,
2020-05-17,861,98,
2020-05-18,1179,104,
2020-05-19,1020,98,
2020-05-20,1108,99,
2020-05-21,1108,90,
2020-05-22,1122,90,
2020-05-23,890,95,
2020-05-24,930,84,
2020-05-25,1271,116,
2020-05-26,1160,88,
2020-05-27,1251,104,
2020-05-28,1244,118,
2020-05-29,1171,102,
2020-05-30,1089,125,
2020-05-31,1058,73,
2020-06-01,1412,121,
2020-06-02,1307,125,
2020-06-03,1309,118,
2020-06-04,1385,134,
2020-06-05,1365,117,
2020-06-06,1173,95,
2020-06-07,1117,104,
2020-06-08,1516,124,
2020-06-09,1345,124,
2020-06-10,1413,123,
2020-06-11,1360,104,
2020-06-12,1342,124,
2020-06-13,1119,101,
2020-06-14,1249,115,
2020-06-15,1605,161,
2020-06-16,1459,132,
2020-06-17,1357,97,
2020-06-18,1403,135,
2020-06-19,1347,119,
2020-06-20,1241,108,
2020-06-21,1133,85,
2020-06-22,1621,121,
2020-06-23,1490,133,
2020-06-24,1475,134,
2020-06-25,1407,126,
2020-06-26,1481,133,
2020-06-27,1293,102,
2020-06-28,1283,118,
2020-06-29,1583,128,
2020-06-30,1490,133,
2020-07-01,1567,99,
2020-07-02,1415,120,
2020-07-03,1409,117,
2020-07-04,1197,110,
2020-07-05,1173,101,
2020-07-06,1548,126,
2020-07-07,1524,156,
2020-07-08,1443,114,
2020-07-09,1382,122,
2020-07-10,1482,155,
2020-07-11,1233,125,
2020-07-12,1273,124,
2020-07-13,1635,125,
2020-07-14,1662,121,
2020-07-15,1658,155,
2020-07-16,1589,121,
2020-07-17,1541,151,
2020-07-18,1298,106,
2020-07-19,1359,121,
2020-07-20,1770,144,
2020-07-21,1662,127,
2020-07-22,1592,132,
2020-07-23,1565,116,
2020-07-24,1492,125,
2020-07-25,1318,97,
2020-07-26,1232,94,
2020-07-27,1701,137,
2020-07-28,1543,104,
2020-07-29,1501,124,
2020-07-30,1459,111,
2020-07-31,1311,145,
2020-08-01,1183,120,
2020-08-02,1114,73,
2020-08-03,1423,117,
2020-08-04,1379,111,
2020-08-05,1276,116,
2020-08-06,1289,105,
2020-08-07,1213,110,
2020-08-08,1055,98,
2020-08-09,999,79,
2020-08-10,1326,105,
2020-08-11,1252,119,
2020-08-12,1153,93,
2020-08-13,1249,92,
2020-08-14,1119,94,
2020-08-15,999,91,
2020-08-16,905,67,
2020-08-17,1210,101,
2020-08-18,1129,74,
2020-08-19,1111,90,
2020-08-20,1128,89,
2020-08-21,1021,75,
2020-08-22,870,86,
2020-08-23,939,71,
2020-08-24,1159,86,
2020-08-25,1082,95,
2020-08-26,1045,79,
2020-08-27,995,64,
2020-08-28,1053,88,
2020-08-29,867,85,
2020-08-30,806,59,
2020-08-31,1092,84,
2020-09-01,990,70,
2020-09-02,989,72,
2020-09-03,957,76,
2020-09-04,866,81,
2020-09-05,744,69,
2020-09-06,812,75,
2020-09-07,970,82,
2020-09-08,918,60,
2020-09-09,904,70,
2020-09-10,830,79,
2020-09-11,837,64,
2020-09-12,709,51,
2020-09-13,750,50,
2020-09-14,895,75,
2020-09-15,767,56,
2020-09-16,685,55,
2020-09-17,928,64,
2020-09-18,839,76,
2020-09-19,723,58,
2020-09-20,663,37,
2020-09-21,902,66,
2020-09-22,818,72,
2020-09-23,807,68,
2020-09-24,753,57,
2020-09-25,765,48,
2020-09-26,591,47,
2020-09-27,642,46,
2020-09-28,855,52,
2020-09-29,780,65,
2020-09-30,763,57,
2020-10-01,784,72,
2020-10-02,765,63,
2020-10-03,624,47,
2020-10-04,644,56,
2020-10-05,861,62,
2020-10-06,873,76,
2020-10-07,855,71,
2020-10-08,794,56,
2020-10-09,761,57,
2020-10-10,752,61,
2020-10-11,795,66,
2020-10-12,976,84,
2020-10-13,884,63,
2020-10-14,843,76,
2020-10-15,838,59,
2020-10-16,872,73,
2020-10-17,731,54,
2020-10-18,809,52,
2020-10-19,1066,77,
2020-10-20,967,69,
2020-10-21,870,62,
2020-10-22,859,63,
2020-10-23,859,69,
